bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	aliquots	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number
TCGA-02-0027-01A	TCGA-02-0027-01A-01D	1.90	null	30 uL	DNA	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0027-01A	TCGA-02-0027-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0027-01A	TCGA-02-0027-01A-01R	1.82	null	53.33 uL	RNA	0.528 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0027-10A	TCGA-02-0027-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0027-10A	TCGA-02-0027-10A-01D	1.89	null	0 uL	DNA	0.133 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0027-10A	TCGA-02-0027-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0028-01A	TCGA-02-0028-01A-01T	null	null	120 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0028-01A	TCGA-02-0028-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0028-01A	TCGA-02-0028-01A-01D	1.90	null	281 uL	DNA	.18 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0028-01A	TCGA-02-0028-01A-01R	1.71	null	17 uL	RNA	0.559 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0028-01A	TCGA-02-0028-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
